epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,847.532,2.78932,1.56536,0.97378,0.08515,0.20339,0.05415,0.01435,2.46648,14.6685,0.88305,0.0085942,0.0085942,0.0085942
73,859.028,2.75896,1.56634,0.99527,0.07365,0.30376,0.05627,0.0198,2.18117,17.3977,0.86603,0.0085744,0.0085744,0.0085744
74,871.087,2.737,1.52433,0.98013,0.07724,0.13224,0.04106,0.0127,2.05437,15.7265,0.82946,0.0085546,0.0085546,0.0085546
75,882.839,2.67793,1.50709,0.986,0.06195,0.19652,0.04206,0.0153,2.19747,14.5131,0.83773,0.0085348,0.0085348,0.0085348
76,894.566,2.72459,1.52338,0.97291,0.06577,0.39356,0.04073,0.01215,2.17472,13.1305,0.84841,0.008515,0.008515,0.008515
77,906.237,2.65171,1.53839,0.98628,0.05731,0.14665,0.04354,0.01468,2.30075,17.1263,0.87327,0.0084952,0.0084952,0.0084952
78,917.937,2.7387,1.56735,0.99202,0.07371,0.19263,0.04605,0.01658,2.28992,16.6877,0.86805,0.0084754,0.0084754,0.0084754
79,929.732,2.70956,1.5208,0.9867,0.06176,0.27088,0.04499,0.01488,2.01598,15.0641,0.83406,0.0084556,0.0084556,0.0084556
80,941.541,2.69638,1.516,0.99742,0.06805,0.37465,0.05582,0.02063,1.99287,16.8656,0.84799,0.0084358,0.0084358,0.0084358
81,954.104,2.65272,1.4907,0.97496,0.06681,0.2178,0.04312,0.01621,2.19127,17.0088,0.85009,0.008416,0.008416,0.008416
82,965.995,2.75985,1.56549,0.98875,0.05684,0.2496,0.04819,0.0176,2.01587,13.8102,0.83994,0.0083962,0.0083962,0.0083962
83,977.691,2.69198,1.47996,0.96594,0.07178,0.32522,0.06195,0.02158,2.1792,14.6814,0.85028,0.0083764,0.0083764,0.0083764
84,989.642,2.65416,1.47012,0.98309,0.0835,0.18211,0.05503,0.01943,2.0645,14.4591,0.82176,0.0083566,0.0083566,0.0083566
85,1001.51,2.67433,1.48648,0.96797,0.0802,0.39722,0.05194,0.01474,1.97571,16.8603,0.82675,0.0083368,0.0083368,0.0083368
86,1013.54,2.66948,1.4787,0.97603,0.07237,0.22123,0.04659,0.01437,2.18349,18.1853,0.83868,0.008317,0.008317,0.008317
87,1025.28,2.69775,1.52998,0.96449,0.0591,0.21414,0.04116,0.01383,2.00819,14.1512,0.84566,0.0082972,0.0082972,0.0082972
88,1036.99,2.66087,1.4537,0.97415,0.06753,0.2393,0.04806,0.02011,2.06128,17.731,0.83761,0.0082774,0.0082774,0.0082774
89,1048.6,2.6714,1.46187,0.97899,0.08442,0.22123,0.0536,0.01651,2.21813,15.4654,0.8515,0.0082576,0.0082576,0.0082576
90,1060.2,2.61518,1.45815,0.98169,0.07265,0.47775,0.04985,0.01859,2.15485,17.0693,0.85726,0.0082378,0.0082378,0.0082378
91,1071.83,2.6221,1.47184,0.96099,0.07749,0.32218,0.0616,0.01926,2.43522,20.736,0.88989,0.008218,0.008218,0.008218
92,1083.45,2.66232,1.44166,0.97255,0.07422,0.22489,0.04939,0.01649,2.23966,17.652,0.85025,0.0081982,0.0081982,0.0081982
93,1095.13,2.65915,1.4666,0.98709,0.05701,0.29947,0.0444,0.01318,2.18765,16.9219,0.83684,0.0081784,0.0081784,0.0081784
94,1106.73,2.66054,1.50779,0.97993,0.07383,0.27111,0.05015,0.01601,2.16548,15.5656,0.83664,0.0081586,0.0081586,0.0081586
95,1118.42,2.72493,1.51955,0.98754,0.05741,0.36496,0.0515,0.01716,2.1113,15.0441,0.84168,0.0081388,0.0081388,0.0081388
96,1130.08,2.63607,1.46705,0.96322,0.07942,0.29604,0.0547,0.01779,2.04405,14.7947,0.83398,0.008119,0.008119,0.008119
97,1141.65,2.66649,1.49285,0.99267,0.07405,0.48399,0.04984,0.01596,2.18707,16.3854,0.86045,0.0080992,0.0080992,0.0080992
98,1153.25,2.61561,1.4517,0.98373,0.05564,0.24274,0.03668,0.0105,2.23251,17.8623,0.85273,0.0080794,0.0080794,0.0080794
99,1165.43,2.63444,1.48352,0.96577,0.07317,0.26767,0.04874,0.0146,2.26922,16.4585,0.86168,0.0080596,0.0080596,0.0080596
100,1177.12,2.6602,1.46501,0.98148,0.07187,0.26401,0.0494,0.01573,2.17911,16.6217,0.83923,0.0080398,0.0080398,0.0080398
101,1188.73,2.65923,1.50092,0.9633,0.06733,0.31046,0.04781,0.01429,2.18314,16.9826,0.85835,0.00802,0.00802,0.00802
